# AK Interactive 3rd Gen — ใส่ hex หลังเครื่องหมาย |
# Format: รหัสขวด | #HEX ชื่อสี (Set)
# เฉพาะ Set 3rd Gen: Standard, Metallic, Intense, Ink, Primer, Auxiliary

# ── Auxiliary (3rd Gen) ──────────────────────────────────────
AK11231 | #D5D5D5 Retarder (Auxiliary (3rd Gen))
AK11232 | #E0E0E0 Metal Medium (Auxiliary (3rd Gen))
AK11233 | #D5D5D5 Glaze Medium (Auxiliary (3rd Gen))
AK11234 | #AFAFAF Matte Medium (Auxiliary (3rd Gen))
AK11235 | #D9D9D9 Gloss Medium (Auxiliary (3rd Gen))
AK11236 | #ACACAC Crackle Medium (Auxiliary (3rd Gen))

# ── Ink (3rd Gen) ──────────────────────────────────────
AK11219 | #230D00 Sepia (Ink (3rd Gen))
AK11220 | #005E5E Turquoise (Ink (3rd Gen))
AK11221 | #943718 Skin (Ink (3rd Gen))
AK11222 | #5F5D48 Sooty Black (Ink (3rd Gen))
AK11223 | #110801 Carbon Black (Ink (3rd Gen))
AK11224 | #B47C89 Purple (Ink (3rd Gen))
AK11225 | #73B72C Luminous Green (Ink (3rd Gen))
AK11226 | #01663E Dark Green (Ink (3rd Gen))
AK11227 | #B64026 Penetrating Red (Ink (3rd Gen))
AK11228 | #0B1C26 Night Blue (Ink (3rd Gen))
AK11229 | #1D1405 Burnt Umber (Ink (3rd Gen))
AK11230 | #FFFFFF Titanium White (Ink (3rd Gen))

# ── Intense (3rd Gen) ──────────────────────────────────────
AK11001 | #FFFFFF White (Intense (3rd Gen))
AK11029 | #101207 Black (Intense (3rd Gen))
AK11045 | #FDC500 Deep Yellow (Intense (3rd Gen))
AK11065 | #E9748F Intense Pink (Intense (3rd Gen))
AK11072 | #74536E Deep Violet (Intense (3rd Gen))
AK11074 | #7A4967 Deep Purple (Intense (3rd Gen))
AK11080 | #FE5E14 Deep Orange (Intense (3rd Gen))
AK11088 | #DC211A Deep Red (Intense (3rd Gen))
AK11102 | #854A2A Deep Brown (Intense (3rd Gen))
AK11142 | #1C6128 Deep Green (Intense (3rd Gen))
AK11182 | #1A4067 Deep Blue (Intense (3rd Gen))

# ── Metallic (3rd Gen) ──────────────────────────────────────
AK11191 | #9E6806 Gold (Metallic (3rd Gen))
AK11192 | #B89402 Old Gold (Metallic (3rd Gen))
AK11193 | #734B03 Rusty Gold (Metallic (3rd Gen))
AK11194 | #A55D09 Brass (Metallic (3rd Gen))
AK11195 | #A04D0B Rusty Brass (Metallic (3rd Gen))
AK11196 | #7F5405 Bronze (Metallic (3rd Gen))
AK11197 | #BD500B Copper (Metallic (3rd Gen))
AK11198 | #331702 Burnt Tin (Metallic (3rd Gen))
AK11199 | #829C99 Metallic Blue (Metallic (3rd Gen))
AK11200 | #799E8D Astral Beryllium (Metallic (3rd Gen))
AK11201 | #012136 Cobalt Blue (Metallic (3rd Gen))
AK11202 | #9D8696 Anodized Violet (Metallic (3rd Gen))
AK11203 | #C53733 Foundry Red (Metallic (3rd Gen))
AK11204 | #21753A Emerald Metallic Green (Metallic (3rd Gen))
AK11206 | #F5EFD5 Pearl (Metallic (3rd Gen))
AK11207 | #AFAFAF Aluminium (Metallic (3rd Gen))
AK11208 | #787878 Dark Aluminium (Metallic (3rd Gen))
AK11209 | #A0AAAC Silver (Metallic (3rd Gen))
