# Citadel Colour — ใส่ hex หลังเครื่องหมาย |
# Format: ชื่อสี | #HEX (Set)
# เฉพาะ Set ที่ยังขาย: Base, Layer, Shade, Contrast, Technical, Dry, Glaze
# deduplicate แล้ว — ถ้าสีซ้ำชื่อจะเลือก Base > Layer > อื่นๆ

# ── Base ──────────────────────────────────────
Abaddon Black | #000000 (Base)
Averland Sunset | #FBB81C (Base)
Balthasar Gold | #A77353 (Base)
Barak-Nar Burgundy | #451636 (Base)
Bugman Glow | #804C43 (Base)
Caledor Sky | #366699 (Base)
Caliban Green | #003D15 (Base)
Castellan Green | #264715 (Base)
Catachan Fleshtone | #442B25 (Base)
Celestra Grey | #8BA3A3 (Base)
Corax White | #FFFFFF (Base)
Corvus Black | #171314 (Base)
Daemonette Hide | #655F81 (Base)
Death Guard Green | #6D774D (Base)
Death Korps Drab | #3D4539 (Base)
Deathworld Forest | #556229 (Base)
Dryad Bark | #2B2A24 (Base)
Gal Vorbak Red | #4B213C (Base)
Grey Knights Steel | #B0BDC6 (Base)
Grey Seer | #A2A5A7 (Base)
Hobgrot Hide | #9C823B (Base)
Incubi Darkness | #082E32 (Base)
Ionrach Skin | #97A384 (Base)
Iron Hands Steel | #B2A79F (Base)
Iron Warriors | #706E6B (Base)
Jokaero Orange | #ED3814 (Base)
Kantor Blue | #02134E (Base)
Khorne Red | #650001 (Base)
Leadbelcher | #969696 (Base)
Lupercal Green | #002C2B (Base)
Macragge Blue | #0F3D7C (Base)
Mechanicus Standard Grey | #39484A (Base)
Mephiston Red | #960C09 (Base)
Morghast Bone | #C0A973 (Base)
Mournfang Brown | #490F06 (Base)
Naggaroth Night | #3B2B50 (Base)
Night Lords Blue | #002B5C (Base)
Nocturne Green | #162A29 (Base)
Orruk Flesh | #97C17E (Base)
Phoenician Purple | #440052 (Base)
Rakarth Flesh | #9C998D (Base)
Ratskin Flesh | #A86648 (Base)
Retributor Armour | #EDC169 (Base)
Rhinox Hide | #462F30 (Base)
Runelord Brass | #8D806F (Base)
Screamer Pink | #7A0E44 (Base)
Screaming Bell | #D18A5E (Base)
Steel Legion Drab | #584E2D (Base)
Stegadon Scale Green | #06455D (Base)
The Fang | #405B71 (Base)
Thondia Brown | #4F322C (Base)
Thousand Sons Blue | #00506F (Base)
Waaagh! Flesh | #0B3B36 (Base)
Warplock Bronze | #B36E4F (Base)
Wraithbone | #DBD1B2 (Base)
XV-88 | #6C4811 (Base)
Zandri Dust | #988E56 (Base)

# ── Layer ──────────────────────────────────────
Administratum Grey | #989C94 (Layer)
Ahriman Blue | #00708A (Layer)
Alaitoc Blue | #2F4F85 (Layer)
Altdorf Guard Blue | #2D4696 (Layer)
Auric Armour Gold | #FFC451 (Layer)
Baharroth Blue | #54BDCA (Layer)
Balor Brown | #875408 (Layer)
Baneblade Brown | #8F7C68 (Layer)
Bestigor Flesh | #D08951 (Layer)
Bloodreaver Flesh | #6A4848 (Layer)
Blue Horror | #9EB5CE (Layer)
Brass Scorpion | #A65D2C (Layer)
Cadian Fleshtone | #C47652 (Layer)
Calgar Blue | #2A497F (Layer)
Canoptek Alloy | #C3B2AC (Layer)
Castellax Bronze | #C68351 (Layer)
Dark Reaper | #354D4C (Layer)
Dawnstone | #697068 (Layer)
Deathclaw Brown | #AF634F (Layer)
Dechala Lilac | #B598C9 (Layer)
Deepkin Flesh | #A9B79F (Layer)
Doombull Brown | #570003 (Layer)
Dorn Yellow | #FFF55A (Layer)
Elysian Green | #6B8C37 (Layer)
Emperor Children | #B74073 (Layer)
Eshin Grey | #484B4E (Layer)
Evil Sunz Scarlet | #C01411 (Layer)
Fenrisian Grey | #6D94B3 (Layer)
Fire Dragon Bright | #F4874E (Layer)
Flash Gitz Yellow | #FFF300 (Layer)
Flayed One Flesh | #EEC483 (Layer)
Fulgrim Pink | #F3ABCA (Layer)
Fulgurite Copper | #CE8D51 (Layer)
Gauss Blaster Green | #7FC1A5 (Layer)
Gehenna Gold | #C96B18 (Layer)
Genestealer Purple | #7658A5 (Layer)
Gorthor Brown | #5F463F (Layer)
Hashut Copper | #BA885F (Layer)
Hoeth Blue | #4C78AF (Layer)
Ironbreaker | #899092 (Layer)
Kabalite Green | #008962 (Layer)
Kakophoni Purple | #8869AE (Layer)
Karak Stone | #B7945C (Layer)
Kislev Flesh | #D1A570 (Layer)
Knight-Questor Flesh | #996563 (Layer)
Krieg Khaki | #BCBB7E (Layer)
Liberator Gold | #E1BA7F (Layer)
Loren Forest | #486C25 (Layer)
Lothern Blue | #2C9BCC (Layer)
Lugganath Orange | #F69B82 (Layer)
Moot Green | #3DAF44 (Layer)
Nurgling Green | #7E975E (Layer)
Ogryn Camo | #96A648 (Layer)
Pallid Wych Flesh | #CACCBB (Layer)
Phalanx Yellow | #FFE200 (Layer)
Pink Horror | #8E2757 (Layer)
Runefang Steel | #C2C8CC (Layer)
Russ Grey | #507085 (Layer)
Screaming Skull | #B9C099 (Layer)
Skarsnik Green | #588F6B (Layer)
Skavenblight Dinge | #45413B (Layer)
Skrag Brown | #8B4806 (Layer)
Skullcrusher Brass | #F4CB7A (Layer)
Slaanesh Grey | #8B8893 (Layer)
Sons of Horus Green | #00545E (Layer)
Sotek Green | #0B6371 (Layer)
Squig Orange | #A74D42 (Layer)
Stormhost Silver | #DADDDF (Layer)
Stormvermin Fur | #6D655F (Layer)
Straken Green | #597F1C (Layer)
Sybarite Green | #17A166 (Layer)
Sycorax Bronze | #BB9F84 (Layer)
Tallarn Sand | #A07409 (Layer)
Tau Light Ochre | #BC6B10 (Layer)
Teclis Blue | #3877BF (Layer)
Temple Guard Blue | #239489 (Layer)
Thunderhawk Blue | #396A70 (Layer)
Troll Slayer Orange | #F16C23 (Layer)
Tuskgor Fur | #863231 (Layer)
Ulthuan Grey | #C4DDD5 (Layer)
Ungor Flesh | #D1A560 (Layer)
Ushabti Bone | #ABA173 (Layer)
Vulkan Green | #223C2E (Layer)
Warboss Green | #317E57 (Layer)
Warpfiend Grey | #66656E (Layer)
Warpstone Glow | #0F702A (Layer)
Wazdakka Red | #880804 (Layer)
White Scar | #FFFFFF (Layer)
Wild Rider Red | #E82E1B (Layer)
Word Bearers Red | #620104 (Layer)
Xereus Purple | #47125A (Layer)
Yriel Yellow | #FFD900 (Layer)
Zamesi Desert | #D89D1B (Layer)

# ── Contrast ──────────────────────────────────────
Aethermatic Blue | #1C7E92 (Contrast)
Aggaros Dunes | #706542 (Contrast)
Akhelian Green | #004F63 (Contrast)
Apothecary White | #A5BED4 (Contrast)
Basilicanum Grey | #212121 (Contrast)
Black Legion | #232324 (Contrast)
Black Templar | #171717 (Contrast)
Blood Angels Red | #860B0E (Contrast)
Creed Camo | #145D2E (Contrast)
Cygor Brown | #3E1A17 (Contrast)
Dark Angels Green | #00110F (Contrast)
Darkoath Flesh | #98615B (Contrast)
Flesh Tearers Red | #4B0402 (Contrast)
Fyreslayer Flesh | #724E3C (Contrast)
Gore-Grunta Fur | #613B1F (Contrast)
Gryph-Charger Grey | #25698A (Contrast)
Gryph-Hound Orange | #94300E (Contrast)
Guilliman Flesh | #9F4639 (Contrast)
Iyanden Yellow | #DB7F0C (Contrast)
Leviadon Blue | #000A13 (Contrast)
Magos Purple | #7A3F6E (Contrast)
Militarum Green | #6B7711 (Contrast)
Nazdreg Yellow | #6C4C00 (Contrast)
Ork Flesh | #00591E (Contrast)
Plaguebearer Flesh | #718025 (Contrast)
Shyish Purple | #2B0E42 (Contrast)
Skeleton Horde | #A4966F (Contrast)
Snakebite Leather | #694C29 (Contrast)
Space Wolves Grey | #1F486B (Contrast)
Talassar Blue | #003B70 (Contrast)
Terradon Turquoise | #005862 (Contrast)
Ultramarines Blue | #091948 (Contrast)
Volupus Pink | #60001C (Contrast)
Warp Lightning | #005E26 (Contrast)
Wyldwood | #432822 (Contrast)

# ── Shade ──────────────────────────────────────
Agrax Earthshade | #A99D8D (Shade)
Agrax Earthshade Gloss | #B4AA9E (Shade)
Athonian Camoshade | #B6B788 (Shade)
Biel-Tan Green | #7DA57A (Shade)
Carroburg Crimson | #BE80A4 (Shade)
Cassandora Yellow | #F5CC92 (Shade)
Coelia Greenshade | #1B8F85 (Shade)
Cryptek Armourshade Gloss | #856A67 (Shade)
Drakenhof Nightshade | #A1A5AF (Shade)
Druchii Violet | #8F6592 (Shade)
Fuegan Orange | #BB7648 (Shade)
Nuln Oil | #9E9A98 (Shade)
Nuln Oil Gloss | #B3AFAE (Shade)
Reikland Fleshshade | #BE9A80 (Shade)
Reikland Fleshshade Gloss | #C2A896 (Shade)
Seraphim Sepia | #AE8158 (Shade)

# ── Technical ──────────────────────────────────────
Agrellan Badland | #B39E80 (Technical)
Agrellan Earth | #B39E80 (Technical)
'Ardcoat | #F9F9F9 (Technical)
Armageddon Dunes | #E8D36F (Technical)
Armageddon Dust | #D2AD00 (Technical)
Astrogranite | #767675 (Technical)
Astrogranite Debris | #9D9D9D (Technical)
Blood For The Blood God | #600106 (Technical)
Contrast Medium | #F9F9F9 (Technical)
Hexwraith Flame | #29A236 (Technical)
Lahmian Medium | #F9F9F9 (Technical)
Martian Ironcrust | #CF705D (Technical)
Martian Ironearth | #CF705D (Technical)
Mordant Earth | #171314 (Technical)
Nighthaunt Gloom | #3A686E (Technical)
Nihilakh Oxide | #66B39A (Technical)
Nurgles Rot | #9D8B16 (Technical)
Soulstone Blue | #142758 (Technical)
Spiritstone Red | #8A2A1E (Technical)
Stirland Battlemire | #70490D (Technical)
Stirland Mud | #482B00 (Technical)
Stormshield | #F9F9F9 (Technical)
Tesseract Glow | #65AB46 (Technical)
Typhus Corrosion | #373A22 (Technical)
Valhallan Blizzard | #E1E1E1 (Technical)
Waystone Green | #23513D (Technical)

# ── Dry ──────────────────────────────────────
Astorath Red | #A9311E (Dry)
Changeling Pink | #F3ABCA (Dry)
Chronus Blue | #4B90CF (Dry)
Eldar Flesh | #E8C07F (Dry)
Etherium Blue | #9EB5CE (Dry)
Golden Griffon | #E1BA7F (Dry)
Golgfag Brown | #8F502A (Dry)
Hellion Green | #7FC1A5 (Dry)
Hexos Palesun | #FFF55A (Dry)
Imrik Blue | #208ABF (Dry)
Kindleflame | #F69C82 (Dry)
Longbeard Grey | #DBDCC6 (Dry)
Lucius Lilac | #B598C9 (Dry)
Necron Compound | #DADDDF (Dry)
Niblet Green | #378C35 (Dry)
Praxeti White | #FFFFFF (Dry)
