# Scale75 — ใส่ hex หลังเครื่องหมาย |
# Format: ชื่อสี | #HEX (Set)
# Scale75 ไม่มีรหัสขวด — ใช้ Set เป็นตัวแบ่งประเภท

# ── Artist Range ──────────────────────────────────────
Alizarin Green | #26944B (Artist Range)
Art Black | #101010 (Artist Range)
Artic Blue | #888FA1 (Artist Range)
Art White | #FEFEFE (Artist Range)
Black Ink | #1B1A18 (Artist Range)
Buff | #B29D82 (Artist Range)
Burgundy Wine Red | #5A2212 (Artist Range)
Burnt Sienna | #7C2D06 (Artist Range)
Burnt Sienna Umber | #4C2A20 (Artist Range)
Burnt Skin | #654023 (Artist Range)
Burnt Umber | #51402C (Artist Range)
Chesknut Ink | #40362D (Artist Range)
Cobalt Blue | #005E91 (Artist Range)
Cobalt Violet Grey | #73768B (Artist Range)
Coral Red | #F73724 (Artist Range)
Cork Brown | #9F8D78 (Artist Range)
Crimsom | #C22335 (Artist Range)
Crimson Ink | #9F1C2B (Artist Range)
Dark Brown Ochre | #1E1317 (Artist Range)
Dark Prussian Blue | #252430 (Artist Range)
Dark Ultramarine | #32297A (Artist Range)
Dark Violet | #481A3F (Artist Range)
Earth Green | #4A3C2F (Artist Range)
Emerald Green | #165341 (Artist Range)
Golden Flesh | #E2A76D (Artist Range)
Green Grey | #2C3033 (Artist Range)
Intense Yellow | #F2CB02 (Artist Range)
Jade Green | #2FBEAF (Artist Range)
Lemon Yellow | #EBEA52 (Artist Range)
Light Moss Green | #61701B (Artist Range)
Light Ultramarine | #263E88 (Artist Range)
Lime Green | #ACE44A (Artist Range)
Magenta | #C60A85 (Artist Range)
Moss Green | #43492F (Artist Range)
Naples Yellow | #DAAC22 (Artist Range)
Neon Blue | #0E81D6 (Artist Range)
Neon Green | #62F687 (Artist Range)
Neon Orange | #FF9E0E (Artist Range)
Neon Pink | #FE3F47 (Artist Range)
Neon Red | #EF321D (Artist Range)
Neon Yellow | #EDFE5A (Artist Range)
Off White | #DFD3B9 (Artist Range)
Olive Green | #585135 (Artist Range)
Oxford Blue | #434EA8 (Artist Range)
Pastel Blue | #44646F (Artist Range)
Pastel Green | #929D97 (Artist Range)
Pastel Pink | #D97ABA (Artist Range)
Pastel Violet | #804A95 (Artist Range)
Pearl Grey | #867980 (Artist Range)
Permanent Orange | #FF6B0D (Artist Range)
Pistachio Green Ink | #C0CF18 (Artist Range)
Primary Blue | #1A76B5 (Artist Range)
Primary Red | #D53036 (Artist Range)
Primary Yellow | #F4E915 (Artist Range)
Prusian Blue | #06293D (Artist Range)
Purple | #912360 (Artist Range)
Raw Sienna | #654226 (Artist Range)
Raw Umber | #765F33 (Artist Range)
Red Ochre | #80362D (Artist Range)
Sap Green | #033417 (Artist Range)
Spring Green | #5D9F35 (Artist Range)
Titanium Grey | #404445 (Artist Range)
Turquoise | #03435F (Artist Range)
Turquoise Blue | #15998E (Artist Range)
Turquoise Ink | #204C50 (Artist Range)
Vanilla White | #EDE8D4 (Artist Range)
Vanilla Yellow | #D8CC68 (Artist Range)
Violet | #2A1C51 (Artist Range)
Violet Grey | #72727C (Artist Range)
White Ink | #F7F7F7 (Artist Range)
Wood | #60483E (Artist Range)
Yellow Ocre | #A0702E (Artist Range)
Yellow Oxide | #4B3527 (Artist Range)

# ── Fantasy & Games Range ──────────────────────────────────────
